                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.95404,                0.53767,                0.95427,                0.91021,                0.76022,                0.87282,                0.61035,                0.92206,                0.50321,                0.97044,              0.0002972,              0.0002972,              0.0002972
                     89,                0.94579,                0.52901,                0.95531,                0.90644,                 0.7565,                0.86999,                0.60612,                 0.9332,                0.50962,                0.97363,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.9375,                0.53552,                0.95228,                0.90685,                0.75515,                0.87091,                0.60557,                0.92407,                0.50917,                0.96997,              0.0002576,              0.0002576,              0.0002576
                     91,                0.92306,                0.52336,                0.96617,                0.90897,                0.76889,                0.87623,                0.61634,                0.91403,                0.50299,                0.96736,              0.0002378,              0.0002378,              0.0002378
                     92,                0.91148,                0.51793,                0.96336,                0.90453,                0.77599,                0.87625,                0.62108,                0.90164,                0.50245,                0.96459,               0.000218,               0.000218,               0.000218
                     93,                0.89917,                0.50546,                0.95171,                0.90366,                 0.7766,                0.87616,                0.62275,                0.89887,                0.49674,                0.96311,              0.0001982,              0.0001982,              0.0001982
                     94,                0.90046,                0.50357,                0.95327,                 0.9034,                 0.7744,                0.87696,                0.62068,                0.90117,                0.49666,                 0.9639,              0.0001784,              0.0001784,              0.0001784
                     95,                0.89376,                0.50019,                0.95506,                0.90335,                0.77491,                0.87695,                0.62189,                0.89841,                0.49723,                  0.964,              0.0001586,              0.0001586,              0.0001586
                     96,                0.89868,                0.50307,                0.95406,                0.90403,                0.76991,                0.87634,                0.61977,                0.90482,                0.49548,                0.96481,              0.0001388,              0.0001388,              0.0001388
                     97,                0.89938,                0.49814,                0.95345,                0.89984,                0.77823,                 0.8786,                0.61808,                0.90892,                  0.494,                 0.9651,               0.000119,               0.000119,               0.000119
                     98,                0.88837,                0.49369,                0.94802,                0.90612,                0.77745,                0.87894,                0.62566,                0.89208,                0.48938,                 0.9614,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.87828,                0.48666,                0.94792,                0.89924,                0.77912,                0.87904,                0.62377,                0.89463,                0.48923,                0.96143,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.88683,                0.48953,                0.94516,                0.89887,                0.78048,                0.87826,                0.62431,                 0.8968,                0.49019,                 0.9613,               5.96e-05,               5.96e-05,               5.96e-05
